Frequency,Channel A
(Hz),(dBu)

34.83146429,-103.08860000
34.92459655,-107.72900000
35.01772881,-109.58790000
35.11086106,-112.28560000
35.20399332,-103.63840000
35.29712558,-106.99730000
35.39025784,-108.57520000
35.48339009,-102.60440000
35.57652235,-104.54610000
35.66965461,-102.02810000
35.76278687,-109.47490000
35.85591912,-100.10650000
35.94905138,-108.73870000
36.04218364,-105.44030000
36.13531590,-101.88490000
36.22844815,-98.37318000
36.32158041,-102.51180000
36.41471267,-107.24790000
36.50784492,-113.54440000
36.60097718,-103.34230000
36.69410944,-101.26930000
36.78724170,-99.89235000
36.88037395,-101.50110000
36.97350621,-100.88670000
37.06663847,-108.98320000
37.15977073,-115.52300000
37.25290298,-103.01710000
37.34603524,-104.84970000
37.43916750,-112.18770000
37.53229976,-109.12320000
37.62543201,-111.60670000
37.71856427,-103.48960000
37.81169653,-102.24720000
37.90482879,-104.62820000
37.99796104,-104.65650000
38.09109330,-104.27720000
38.18422556,-103.61450000
38.27735782,-100.39240000
38.37049007,-110.55540000
38.46362233,-107.13610000
38.55675459,-108.18450000
38.64988685,-108.83230000
38.74301910,-107.13460000
38.83615136,-117.41760000
38.92928362,-108.34830000
39.02241588,-111.33290000
39.11554813,-99.93689000
39.20868039,-100.88410000
39.30181265,-98.50960000
39.39494491,-97.22916000
39.48807716,-99.45792000
39.58120942,-99.14130000
39.67434168,-106.29410000
39.76747394,-108.71610000
39.86060619,-111.18160000
39.95373845,-101.46210000
40.04687071,-99.63566000
40.14000297,-103.03000000
40.23313522,-104.99040000
40.32626748,-105.48940000
40.41939974,-109.82000000
40.51253200,-98.42918000
40.60566425,-95.04986000
40.69879651,-103.01700000
40.79192877,-103.95430000
40.88506103,-99.60023000
40.97819328,-99.37219000
41.07132554,-100.55660000
41.16445780,-96.60206000
41.25759006,-98.44249000
41.35072231,-102.89820000
41.44385457,-99.87396000
41.53698683,-99.59462000
41.63011909,-97.19479000
41.72325134,-100.41160000
41.81638360,-107.62260000
41.90951586,-114.77420000
42.00264812,-106.34260000
42.09578037,-108.31450000
42.18891263,-104.11220000
42.28204489,-104.94820000
42.37517715,-110.82240000
42.46830940,-101.37930000
42.56144166,-102.94060000
42.65457392,-106.43350000
42.74770617,-100.14940000
42.84083843,-104.17660000
42.93397069,-106.74860000
43.02710295,-113.67270000
43.12023520,-110.76550000
43.21336746,-110.55490000
43.30649972,-106.05550000
43.39963198,-104.40700000
43.49276423,-105.22560000
43.58589649,-99.15536000
43.67902875,-100.12770000
43.77216101,-100.53880000
43.86529326,-107.22050000
43.95842552,-104.04020000
44.05155778,-100.74520000
44.14469004,-101.32200000
44.23782229,-106.48080000
44.33095455,-102.99360000
44.42408681,-100.70260000
44.51721907,-111.36960000
44.61035132,-111.34900000
44.70348358,-104.00560000
44.79661584,-104.48010000
44.88974810,-104.59270000
44.98288035,-98.44646000
45.07601261,-106.79840000
45.16914487,-99.83585000
45.26227713,-100.95170000
45.35540938,-103.09780000
45.44854164,-107.58180000
45.54167390,-103.55410000
45.63480616,-110.15690000
45.72793841,-111.10630000
45.82107067,-106.06540000
45.91420293,-103.09280000
46.00733519,-102.81280000
46.10046744,-112.90740000
46.19359970,-105.08110000
46.28673196,-100.97120000
46.37986422,-109.16120000
46.47299647,-102.14860000
46.56612873,-100.22820000
46.65926099,-112.05390000
46.75239325,-104.34110000
46.84552550,-103.70630000
46.93865776,-103.66340000
47.03179002,-109.76410000
47.12492228,-109.29430000
47.21805453,-105.52650000
47.31118679,-108.64420000
47.40431905,-103.79770000
47.49745131,-109.81080000
47.59058356,-108.19330000
47.68371582,-100.86890000
47.77684808,-102.07960000
47.86998034,-108.51640000
47.96311259,-100.70030000
48.05624485,-110.52050000
48.14937711,-85.54517000
48.24250937,-80.72831000
48.33564162,-84.70092000
48.42877388,-104.23930000
48.52190614,-102.90680000
48.61503839,-102.75430000
48.70817065,-100.61960000
48.80130291,-106.49890000
48.89443517,-110.05920000
48.98756742,-107.82280000
49.08069968,-110.47500000
49.17383194,-103.15770000
49.26696420,-105.68960000
49.36009645,-116.20630000
49.45322871,-130.27750000
49.54636097,-107.51890000
49.63949323,-102.62700000
49.73262548,-116.77720000
49.82575774,-102.01470000
49.91889000,-103.21400000
50.01202226,-100.77430000
50.10515451,-102.82270000
50.19828677,-102.22890000
50.29141903,-99.18885000
50.38455129,-103.05900000
50.47768354,-103.94010000
50.57081580,-111.03870000
50.66394806,-106.57910000
50.75708032,-105.25290000
50.85021257,-106.12570000
50.94334483,-104.88160000
51.03647709,-109.93080000
51.12960935,-106.20910000
51.22274160,-116.25400000
51.31587386,-102.18030000
51.40900612,-107.71780000
51.50213838,-105.27450000
51.59527063,-108.35170000
51.68840289,-113.56460000
51.78153515,-105.21530000
51.87466741,-118.84740000
51.96779966,-108.48480000
52.06093192,-110.46910000
52.15406418,-111.50740000
52.24719644,-115.22160000
52.34032869,-107.89120000
52.43346095,-108.60590000
52.52659321,-103.33040000
52.61972547,-111.49930000
52.71285772,-104.97340000
52.80598998,-106.90270000
52.89912224,-109.30700000
52.99225450,-108.04860000
53.08538675,-109.41140000
53.17851901,-100.60010000
53.27165127,-103.30090000
53.36478353,-107.46250000
53.45791578,-102.18730000
53.55104804,-98.99426000
53.64418030,-115.74660000
53.73731256,-105.62090000
53.83044481,-99.82703000
53.92357707,-106.18730000
54.01670933,-103.71760000
54.10984159,-101.98270000
